Start Time : Do 9. Jan 18:15:49 CET 2025
Job ID: 458662
Node: cc2g04
Partition: gpu_normal_stud
CPU cores: 8
GPUs: 0
Memory: 65536
Python environment: amlg_env              *  /home/phamanh/anaconda3/envs/amlg_env
current work directory: /home/phamanh/nobackup/scrnaseq-ml

[I 2025-01-09 18:15:53,896] A new study created in memory with name: no-name-fdc5083e-2711-42f8-8264-9400cd985738
[I 2025-01-09 18:15:59,954] Trial 0 finished with value: 0.732927925050257 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 0 with value: 0.732927925050257.
[I 2025-01-09 18:16:11,076] Trial 1 finished with value: 0.7441927337853208 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 1 with value: 0.7441927337853208.
[I 2025-01-09 18:16:22,559] Trial 2 finished with value: 0.7481110441264263 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 2 with value: 0.7481110441264263.
[I 2025-01-09 18:16:39,576] Trial 3 finished with value: 0.7451724643502369 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 2 with value: 0.7481110441264263.
[I 2025-01-09 18:16:45,227] Trial 4 finished with value: 0.7351671308680847 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 2 with value: 0.7481110441264263.
[I 2025-01-09 18:16:55,410] Trial 5 finished with value: 0.7504200820900985 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 5 with value: 0.7504200820900985.
[I 2025-01-09 18:17:07,936] Trial 6 finished with value: 0.745103121739239 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 5 with value: 0.7504200820900985.
[I 2025-01-09 18:17:28,616] Trial 7 finished with value: 0.749090529923919 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 5 with value: 0.7504200820900985.
[I 2025-01-09 18:17:51,652] Trial 8 finished with value: 0.7515391832257948 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 8 with value: 0.7515391832257948.
[I 2025-01-09 18:18:16,397] Trial 9 finished with value: 0.746292397695172 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 8 with value: 0.7515391832257948.
[I 2025-01-09 18:18:22,382] Trial 10 finished with value: 0.7525891130876896 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:18:53,194] Trial 11 finished with value: 0.7057799134551346 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:19:12,492] Trial 12 finished with value: 0.7472009988469006 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:19:31,195] Trial 13 finished with value: 0.7465715794180948 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:20:00,052] Trial 14 finished with value: 0.697243845384335 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:20:05,657] Trial 15 finished with value: 0.7480410651201281 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:20:32,501] Trial 16 finished with value: 0.7053601128475728 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:20:57,439] Trial 17 finished with value: 0.7475511875992991 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:03,363] Trial 18 finished with value: 0.7515396972373836 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:08,166] Trial 19 finished with value: 0.6647772579733601 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:22,489] Trial 20 finished with value: 0.7442627617451036 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:34,938] Trial 21 finished with value: 0.749720732608479 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:47,127] Trial 22 finished with value: 0.6942347725902586 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:21:59,184] Trial 23 finished with value: 0.7487408796598516 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:22:03,991] Trial 24 finished with value: 0.664917191509214 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:22:27,530] Trial 25 finished with value: 0.7080187276450852 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:22:33,154] Trial 26 finished with value: 0.664567345431208 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 10 with value: 0.7525891130876896.
[I 2025-01-09 18:22:39,161] Trial 27 finished with value: 0.7527289731933166 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:22:49,748] Trial 28 finished with value: 0.6943747061261126 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:23:15,812] Trial 29 finished with value: 0.7494403760019248 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:23:21,005] Trial 30 finished with value: 0.7521698020149744 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:23:31,938] Trial 31 finished with value: 0.7472016352422012 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:02,877] Trial 32 finished with value: 0.7015817605190636 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:08,366] Trial 33 finished with value: 0.661279041960724 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:21,622] Trial 34 finished with value: 0.7456625621617468 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:33,102] Trial 35 finished with value: 0.7481808028420435 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:39,019] Trial 36 finished with value: 0.6644974153783945 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:24:53,179] Trial 37 finished with value: 0.685418592680328 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:25:06,969] Trial 38 finished with value: 0.7490207712083017 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:25:30,939] Trial 39 finished with value: 0.7437728842242745 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:25:43,740] Trial 40 finished with value: 0.7479713553579956 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:26:08,636] Trial 41 finished with value: 0.7481808762722705 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:26:33,425] Trial 42 finished with value: 0.7059199938514423 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:26:58,699] Trial 43 finished with value: 0.7043103053693895 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:27:24,968] Trial 44 finished with value: 0.7022815750587871 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:27:35,677] Trial 45 finished with value: 0.6940249824318181 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:27:53,629] Trial 46 finished with value: 0.7471317786196146 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:27:58,735] Trial 47 finished with value: 0.6665263904564201 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:28:22,727] Trial 48 finished with value: 0.7490207712083017 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:28:56,191] Trial 49 finished with value: 0.7425839019892494 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:29:07,639] Trial 50 finished with value: 0.7516095783367123 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:29:31,583] Trial 51 finished with value: 0.7481110930799109 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:29:59,956] Trial 52 finished with value: 0.7028411623417488 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:30:11,906] Trial 53 finished with value: 0.6939547586580967 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:30:17,833] Trial 54 finished with value: 0.738875357329842 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:30:23,345] Trial 55 finished with value: 0.7341175436805825 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:30:37,043] Trial 56 finished with value: 0.6863981274313053 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:30:55,297] Trial 57 finished with value: 0.7498604703303944 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:31:12,934] Trial 58 finished with value: 0.7483211524825168 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:31:18,939] Trial 59 finished with value: 0.6584799551390267 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:31:25,304] Trial 60 finished with value: 0.7510496483793582 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:31:38,727] Trial 61 finished with value: 0.7488808131957055 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:31:45,160] Trial 62 finished with value: 0.7514693755566929 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:32:15,087] Trial 63 finished with value: 0.705570270157148 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:32:27,855] Trial 64 finished with value: 0.7451028524950734 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:32:41,430] Trial 65 finished with value: 0.748601190891421 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:32:54,262] Trial 66 finished with value: 0.7511194805252023 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:33:05,160] Trial 67 finished with value: 0.6943046292128451 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:33:10,643] Trial 68 finished with value: 0.6613490943972492 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:33:39,557] Trial 69 finished with value: 0.7412543742998122 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:34:01,054] Trial 70 finished with value: 0.7482508797553109 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:34:06,319] Trial 71 finished with value: 0.6671562015131032 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 27 with value: 0.7527289731933166.
[I 2025-01-09 18:34:12,431] Trial 72 finished with value: 0.7364963893133564 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 27 with value: 0.7527289731933166.
