number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
0,0.732927925050257,2025-01-09 18:15:53.897108,2025-01-09 18:15:59.953943,0 days 00:00:06.056835,0.8,0.1,3,1,1.0,0,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
1,0.7441927337853208,2025-01-09 18:15:59.954355,2025-01-09 18:16:11.076113,0 days 00:00:11.121758,0.8,0.3,5,5,0.6,1,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
2,0.7481110441264263,2025-01-09 18:16:11.076482,2025-01-09 18:16:22.559465,0 days 00:00:11.482983,0.6,0.1,5,1,0.8,2,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
3,0.7451724643502369,2025-01-09 18:16:22.559724,2025-01-09 18:16:39.575671,0 days 00:00:17.015947,0.6,0.3,7,3,0.6,3,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
4,0.7351671308680847,2025-01-09 18:16:39.576797,2025-01-09 18:16:45.227532,0 days 00:00:05.650735,0.8,0.1,3,1,0.8,4,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
5,0.7504200820900985,2025-01-09 18:16:45.227824,2025-01-09 18:16:55.410551,0 days 00:00:10.182727,0.6,0.3,5,5,1.0,5,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
6,0.745103121739239,2025-01-09 18:16:55.410821,2025-01-09 18:17:07.936193,0 days 00:00:12.525372,0.8,0.1,5,3,1.0,6,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
7,0.749090529923919,2025-01-09 18:17:07.936479,2025-01-09 18:17:28.615895,0 days 00:00:20.679416,0.6,0.3,7,1,0.8,7,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
8,0.7515391832257948,2025-01-09 18:17:28.616162,2025-01-09 18:17:51.652671,0 days 00:00:23.036509,0.8,0.3,7,1,0.8,8,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
9,0.746292397695172,2025-01-09 18:17:51.653087,2025-01-09 18:18:16.397243,0 days 00:00:24.744156,1.0,0.3,7,1,0.6,9,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
